model,features,accuracy,precision,recall,fold,dataset
KNeighborsClassifier,reasoning,0.4,0.4,0.4,1,vignettes_clifford
GaussianNB,reasoning,0.15,0.15,0.15,1,vignettes_clifford
LogisticRegression,reasoning,0.15,0.15,0.15,1,vignettes_clifford
SVC,reasoning,0.15,0.15,0.15,1,vignettes_clifford
KNeighborsClassifier,reasoning,0.45,0.45,0.45,2,vignettes_clifford
GaussianNB,reasoning,0.3,0.3,0.3,2,vignettes_clifford
LogisticRegression,reasoning,0.4,0.4,0.4,2,vignettes_clifford
SVC,reasoning,0.4,0.4,0.4,2,vignettes_clifford
KNeighborsClassifier,reasoning,0.5,0.5,0.5,3,vignettes_clifford
GaussianNB,reasoning,0.25,0.25,0.25,3,vignettes_clifford
LogisticRegression,reasoning,0.45,0.45,0.45,3,vignettes_clifford
SVC,reasoning,0.45,0.45,0.45,3,vignettes_clifford
KNeighborsClassifier,reasoning,0.10526315789473684,0.10526315789473684,0.10526315789473684,4,vignettes_clifford
GaussianNB,reasoning,0.3157894736842105,0.3157894736842105,0.3157894736842105,4,vignettes_clifford
LogisticRegression,reasoning,0.2631578947368421,0.2631578947368421,0.2631578947368421,4,vignettes_clifford
SVC,reasoning,0.2631578947368421,0.2631578947368421,0.2631578947368421,4,vignettes_clifford
